,finalized_title,standard_title,Available Globally?,Release Date,Hours Viewed,Runtime_minutes,Views,release_year,type,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description,age_certification,runtime,seasons
2492,SAINT SEIYA: Knights of the Zodiac,saint seiya,Yes,7/19/19,1400000,142.0,600000,2019,SHOW,"['animation', 'action', 'scifi', 'fantasy']",['US'],4.5,1846.0,82.799,7.337,"Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",TV-14,24,2.0
2493,The Raincoat Killer: Chasing a Predator in Korea,the raincoat killer,Yes,10/22/21,1400000,148.0,600000,2021,SHOW,"['documentation', 'crime', 'history']",['KR'],6.4,2172.0,18.734,6.5,"In the early 2000s, Yoo Young-chul hammered his victims to death and cast fear across Seoul. This docuseries recounts the hunt for a prolific killer.",TV-MA,48,1.0
2495,The Puppet Master: Hunting the Ultimate Conman,the puppet master,Yes,1/18/22,1300000,129.0,600000,2022,SHOW,"['documentation', 'crime']",['GB'],7.0,6370.0,6.409,6.564,"In this harrowing docuseries, a cruel conman masquerading as a British spy manipulates and steals from his victims, leaving ruined families in his wake.",TV-MA,42,1.0
2497,Jailbirds New Orleans,jailbirds new orleans,Yes,9/24/21,1200000,122.0,600000,2021,SHOW,"['documentation', 'reality']",['US'],6.6,214.0,1.96,7.0,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",TV-MA,41,1.0
2498,"The Mind, Explained",the mind explained,Yes,11/19/21,1200000,117.0,600000,2019,SHOW,['documentation'],['US'],8.0,5312.0,9.751,7.8,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.",TV-14,22,2.0
2507,StarBeam (2020),starbeam,No,4/3/20,1000000,102.0,600000,2020,SHOW,[],['CA'],7.4,92.0,6.803,6.9,"Zoey is excited to tackle second grade, but when danger beckons, she sneaks away and with her signature call out and transforms into StarBeam, the speediest, most powerful and most enthusiastic superhero to ever sip from a juicebox.",TV-Y,13,4.0
2510,Cem Yılmaz: Diamond Elite Platinum Plus,cem yılmaz,No,12/31/21,900000,94.0,600000,2021,MOVIE,['comedy'],['TR'],6.6,7921.0,2.736,5.8,"In an irreverent but heartfelt stand-up show, Turkish comedian Cem Yılmaz shares stories about childhood, social media and Turks on holiday abroad.",Unkown,94,1
2526,Snoop Dogg's F*cn Around Comedy Special,snoop doggs fcn around comedy special,No,6/16/22,700000,67.0,600000,2022,MOVIE,"['documentation', 'comedy', 'music']",[],5.2,371.0,5.006,5.3,Snoop Dogg hosts a night of music and stand-up as he welcomes his friends — including legendary comedians Katt Williams and Mike Epps — to the stage.,Unkown,67,1
2542,"Ron White: If You Quit Listening, I'll Shut Up",ron white,No,10/16/18,600000,63.0,600000,2018,MOVIE,['comedy'],['US'],6.5,841.0,2.438,6.2,"Ron ""Tater Salad"" White dishes out his signature brand of cynicism, riffing on sex, celebrity and the sinister habits of wild geese.",Unkown,63,1
2546,Tom Papa: Live in New York City (2011),tom papa,No,12/13/22,600000,60.0,600000,2011,MOVIE,['comedy'],['US'],7.2,501.0,2.414,6.1,"From the Union Square Theater in New York City, veteran comic Tom Papa discusses a variety of topics, ranging from living with the worst roommates in the world to the difficulties of keeping up with rapidly changing technology.",Unkown,57,1
2548,Kapil Sharma: I'm Not Done Yet,kapil sharma,No,1/28/22,500000,54.0,600000,2022,MOVIE,['comedy'],['IN'],6.9,3950.0,2.109,7.8,"From the liquid courage behind his tweets to the sobering realities of making it in Mumbai, Kapil's pouring his heart out — with a heavy glug of humor.",R,54,1
2553,Intersection,intersection,Yes,,15100000,391.97452229299364,500000,2016,SHOW,['drama'],['TR'],6.5,1221.0,15.226,5.7,"Naz who is a paediatrician loses her baby during pregnancy. Even though her husband wants another baby, she refuses to go through the same thing all over again. She goes to Italy for a conference and meets Ali Nejat there.",TV-MA,107,2.0
2554,Prison Playbook,prison playbook,Yes,12/1/17,11800000,391.97452229299364,500000,2017,SHOW,"['comedy', 'drama']",['KR'],8.5,3247.0,17.608,8.6,"With his major league baseball debut right around the corner, a star pitcher lands in prison and must learn to navigate his new world.",Unkown,92,1.0
2556,Signal,signal,Yes,,9800000,1156.0,500000,2016,SHOW,"['crime', 'thriller', 'drama', 'fantasy', 'scifi']",['KR'],8.5,6659.0,9.477,8.1, Detectives from the present and a detective from the past communicate via walkie-talkie to solve a long-time unsolved case.,TV-MA,71,2.0
2557,"Hi Bye, Mama!",hi bye mama,Yes,2/22/20,9400000,1131.0,500000,2020,SHOW,"['scifi', 'comedy', 'drama', 'fantasy']",['KR'],7.9,1639.0,27.87,8.1,"When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",Unkown,63,2.0
2561,The Beauty Queen of Jerusalem,the beauty queen of jerusalem,No,5/20/22,8200000,899.0,500000,2021,SHOW,['drama'],['IL'],7.1,337.0,11.854,8.0,"The loves, heartbreak, jealousy and pain of the three Armoza sisters – Luna, Rachelika, and Becky - their parents, grandparents and children, set during the early-mid 20th century in Jerusalem.",TV-MA,30,3.0
2563,Yu-Gi-Oh!,yugioh,No,,8000000,391.97452229299364,500000,1998,SHOW,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.3,21113.0,33.504,7.358,"A timid young boy who loves all sorts of games, one day solves an ancient puzzle known as the Millennium Puzzle, causing his body to play host to a mysterious spirit with the personality of a gambler.",TV-Y,22,7.0
