,finalized_title,standard_title,Available Globally?,Release Date,Hours Viewed,Runtime_minutes,Views,release_year,type,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description,age_certification,runtime,seasons
412,Battle Kitty,battle kitty,Yes,4/19/22,16300000,296.0,3300000,2022,SHOW,"['animation', 'fantasy', 'scifi', 'action', 'comedy', 'family']",['US'],6.3,123.0,1.639,8.0,"In a futuristic-medieval world, warriors must find and defeat all the monsters on Battle Island, collecting their coveted keys in order to become 'Champion'. Cut to Kitty and Orc, two best friends on a mission to help Kitty become Champion their way through cuteness and friendship. The two embark on the journey to Championhood, facing many obstacles and naysayers only to discover a surprise waiting for them at the Ancient Ruins.",TV-Y7,33,1.0
414,Free Rein (2017),free rein,Yes,6/22/17,15000000,269.0,3300000,2017,SHOW,"['action', 'comedy', 'drama', 'family', 'documentation']",['US'],7.0,2110.0,31.038,7.8,"A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse.",TV-G,28,3.0
417,Anatomy of a Scandal,anatomy of a scandal,Yes,4/15/22,14900000,273.0,3300000,2022,SHOW,"['drama', 'thriller']","['GB', 'US']",7.0,23981.0,11.678,7.5,A sexual consent scandal amongst British privileged elite and the women caught up in its wake.,TV-MA,46,1.0
419,LEGO City,lego city,No,,600000,11.0,3300000,2011,SHOW,"['animation', 'european']",['GB'],5.0,37.0,1.403,5.8,The robbers escape from their cells and are up to no good – their adventures are funny and entertaining. The city police are put to the test. Will our heroes catch the robber? See the Lego City characters and the trusted city police dog come together to help put them back behind bars.,TV-G,4,3.0
425,Alice in Borderland,alice in borderland,Yes,12/10/20,20700000,389.0,3200000,2020,SHOW,"['action', 'drama', 'scifi', 'thriller', 'fantasy']",['JP'],7.6,49446.0,71.018,8.2,A group of bored delinquents are transported to a parallel dimension as part of a survival game.,TV-MA,47,2.0
426,A Tale Dark & Grimm,a tale dark  grimm,Yes,10/8/21,15900000,300.0,3200000,2021,SHOW,"['animation', 'action', 'comedy', 'family', 'fantasy']","['ES', 'US']",7.3,1193.0,12.989,7.8,Follow Hansel and Gretel as they walk out of their own story into a winding and wickedly witty tale full of strange -and scary- surprises.,TV-Y7,30,1.0
427,Family Reunion,family reunion,Yes,7/10/19,15400000,285.0,3200000,2019,SHOW,"['comedy', 'family']",['US'],6.4,2632.0,18.784,8.6,"When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.",TV-PG,29,5.0
429,Little Baby Bum,little baby bum,Yes,,9800000,182.0,3200000,2011,SHOW,"['family', 'music', 'animation']",['GB'],6.4,94.0,0.971,10.0,"Little Baby Bum is a fun and educational show for kids featuring classic and new nursery rhymes. With her friends and family, 6 year old Mia experiences the world around her through song and sometimes a bit of magic, too.",TV-Y,7,4.0
431,Go! Go! Cory Carson,go go cory carson,Yes,1/4/20,3500000,66.0,3200000,2020,SHOW,"['comedy', 'family', 'animation']",['US'],7.9,242.0,7.048,8.7,"Based on the Go. Go. toy line from VTech, children's series follows the adventures of Cory Carson.",TV-Y,9,6.0
434,Trollhunters: Tales of Arcadia (2016),trollhunters,Yes,12/23/16,32200000,614.0,3100000,2016,SHOW,"['scifi', 'action', 'fantasy', 'comedy', 'drama', 'animation', 'family']",['US'],8.4,16779.0,50.896,8.5,"After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds.",TV-Y7,22,3.0
436,The Umbrella Academy,the umbrella academy,Yes,2/15/19,28900000,556.0,3100000,2019,SHOW,"['comedy', 'drama', 'fantasy', 'scifi', 'action']",['US'],8.0,230211.0,388.952,8.7,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",TV-14,50,3.0
441,Car Masters: Rust to Riches,car masters,No,12/13/23,16400000,318.0,3100000,2018,SHOW,['reality'],['US'],8.4,10058.0,18.216,7.7,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",TV-PG,37,4.0
442,The Forest (2016),the forest,Yes,6/29/18,16400000,315.0,3100000,2016,MOVIE,"['horror', 'thriller', 'scifi', 'drama', 'fantasy']",['US'],4.8,42561.0,33.204,5.2,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",R,95,1
445,Monster High: Electrified,monster high,No,,15000000,294.0,3100000,2017,MOVIE,"['family', 'animation', 'fantasy']",['US'],5.3,320.0,20.596,7.2,"When Clawdeen dreams of opening a salon made for monsters and normies, Frankie has the perfect place - an abandoned power station outside town. But the idea sparks negative voltage when Moanica plots to ruin the whole thing, and replace the celebration with something a little more... shocking! Luckily the ghouls have a secret weapon on their side...Twyla, the daughter of the Boogey Man, and the perfect ghoul to unearth any mystery. Along with the most voltageous salon ever! So catch every twist, turn, zap and blast...because the Monster High ghouls are about to get ELECTRIC!",PG,72,1
449,On My Block,on my block,Yes,3/16/18,14700000,284.0,3100000,2018,SHOW,"['comedy', 'drama']",['US'],7.9,16106.0,31.784,8.5,A coming of age comedy following a diverse group of teenage friends as they confront the challenges of growing up in gritty inner-city Los Angeles.,TV-14,29,4.0
451,Pocoyo,pocoyo,No,,8200000,161.0,3100000,2005,SHOW,"['animation', 'family', 'comedy', 'european']","['GB', 'ES']",3.9,93.0,27.339,7.1,"Pocoyo is a Spanish pre-school animated television series created by Guillermo García Carsí, Luis Gallego and David Cantolla, and is a co-production between Spanish producer Zinkia Entertainment, Cosgrove-Hall Films and Granada International. Two series have been produced, each consisting of 52 seven-minute episodes. English actor and comedian Stephen Fry narrates the English-language version and José María del Río narrates the Castilian Spanish version.

Set in a 3D space, with a plain white background and usually no backdrops, it is about Pocoyo, a 3-year-old boy, interacting with his friends Pato, Elly and Loula. Viewers are encouraged to recognise situations that Pocoyo is in, and things that are going on with or around him. The narrator usually speaks explicitly to the viewers and to the characters as well. Each character has its own distinctive dance and also a specific sound, and most episodes end with the characters dancing. Many episodes also involve parties.

In the United Kingdom, it was originally broadcast on CITV, a children's strand on the ITV network. In September 2007, Channel 5 acquired terrestrial rights in the United Kingdom to the first and second series, making it part of the Milkshake! strand. The show, however, will continue to air on the CITV Channel. Other broadcasters in the English speaking countries include RTÉ in the Republic of Ireland, Nick Jr. in the U.S. nationwide and local station KCET-TV as well as KLCS-TV channel 58-2 in Los Angeles and on Univision in LATAM Spanish, Treehouse TV in Canada, ABC in Australia and TVNZ in New Zealand.",TV-G,11,4.0
452,Neal Brennan: 3 Mics,neal brennan,No,4/9/24,2700000,53.0,3100000,2017,MOVIE,"['comedy', 'documentation']",['US'],7.9,3302.0,3.283,7.3,"Wicked one-liners and soul-baring confessions converge in this uniquely intimate stand-up special from ""Chappelle's Show"" co-creator Neal Brennan.",Unkown,65,1
453,Vincenzo,vincenzo,Yes,2/20/21,81800000,391.97452229299364,3000000,2021,SHOW,"['action', 'drama', 'comedy', 'crime', 'romance']",['KR'],8.4,16358.0,50.764,8.8,"Vincenzo Cassano is an Italian lawyer and Mafia consigliere who moves back to Korea due to a conflict within his organization. He ends up crossing paths with a sharp-tongued lawyer named Cha-young, and the two join forces in using villainous methods to take down villains who cannot be punished by the law.",Unkown,81,1.0
454,NCIS,ncis,No,,50600000,1028.0,3000000,2003,SHOW,"['crime', 'action', 'thriller', 'drama', 'comedy']",['US'],7.8,143846.0,251.622,7.6,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",TV-14,43,20.0
455,The Flash,the flash,No,,49800000,980.0,3000000,2014,SHOW,"['drama', 'scifi', 'family', 'animation', 'action']",['US'],7.6,341393.0,537.156,7.8,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",TV-14,42,8.0
457,The Cook of Castamar,the cook of castamar,No,4/8/21,32400000,649.0,3000000,2021,SHOW,['drama'],['ES'],7.4,3807.0,11.161,7.1,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",TV-MA,55,1.0
462,The Innocent,the innocent,Yes,4/30/21,23600000,467.0,3000000,2021,SHOW,"['thriller', 'drama', 'crime']",['ES'],7.8,29670.0,15.042,7.8,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare.",TV-MA,58,1.0
466,Marcella,marcella,Yes,7/1/16,18100000,363.0,3000000,2016,SHOW,"['crime', 'drama', 'european']",['GB'],7.4,30969.0,25.841,7.1,"Marcella is shocked to the core of her being when her husband Jason leaves her unexpectedly, confessing he no longer loves her. Heartbroken, Marcella returns to the Met’s Murder Squad. Ten years ago Marcella gave up her fast-tracked police career to marry and devote her life to her family. With the abrupt end to her marriage and isolated from her 13 year old daughter and 10 year old son, Marcella throws herself into work to stop herself from falling apart.",TV-MA,45,3.0
467,Octonauts (2010),octonauts,Yes,5/2/22,16600000,328.0,3000000,2010,SHOW,"['action', 'animation', 'comedy', 'family']",['GB'],7.6,1083.0,40.327,7.4,"The Octonauts is a British children's television series, produced by Silvergate Media for the BBC channel Cbeebies. The series is animated in Ireland by Brown Bag Films but uses British voice actors. The TV series is based on American-Canadian children's books written by Vicki Wong and Michael C. Murphy of Meomi Design Inc.

The Octonauts follows an underwater exploring crew made up of stylized anthropomorphic animals, a team of eight adventurers who live in an undersea base, the Octopod, from where they go on undersea adventures with the help of a fleet of aquatic vehicles.

The subject matter is reminiscent of Star Trek and Thunderbirds blended with Jacques Cousteau. Although it is science fiction as regards its technology, the exotic creatures and locations that the crew encounter are real marine animals in their natural habitats.",TV-Y,15,7.0
473,Self Made: Inspired by the Life of Madam C.J. Walker,self made,Yes,3/20/20,9600000,191.0,3000000,2020,SHOW,"['drama', 'history']",['US'],7.3,11711.0,10.598,7.5,"This limited series chronicles the incredible true story of Madam C.J. Walker, who was the first African American self-made millionaire.",TV-MA,47,1.0
474,Spirit Riding Free: Spirit of Christmas (2019),spirit riding free,No,5/5/17,7100000,143.0,3000000,2019,MOVIE,"['animation', 'family', 'action', 'comedy', 'drama']",['US'],5.2,124.0,8.492,6.9,"Lucky and her friends venture into town on Christmas Eve in an attempt to fulfill their holiday plans. But when distractions lead to delays, they must figure out how to get home in time for Christmas in the middle of a serious snowstorm!",PG,45,1
476,Alchemy of Souls,alchemy of souls,Yes,6/18/22,72500000,391.97452229299364,2900000,2022,SHOW,"['drama', 'action', 'thriller', 'scifi', 'comedy', 'fantasy', 'romance']",['KR'],8.6,878.0,108.72,8.0,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",TV-14,80,1.0
477,Hometown Cha-Cha-Cha,hometown chachacha,Yes,8/28/21,60200000,1252.0,2900000,2021,SHOW,"['comedy', 'romance', 'drama']",['KR'],8.4,11060.0,40.151,8.2,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",TV-14,78,1.0
482,The Vampire Diaries,the vampire diaries,No,,43100000,907.0,2900000,2009,SHOW,"['drama', 'scifi', 'horror', 'romance', 'thriller', 'fantasy']",['US'],7.7,314422.0,479.354,8.348,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",TV-14,42,8.0
484,13 Reasons Why,13 reasons why,Yes,3/31/17,34900000,728.0,2900000,2017,SHOW,"['drama', 'thriller']",['US'],7.5,286015.0,80.574,7.748,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",TV-MA,58,4.0
486,"Nevertheless,",nevertheless,Yes,6/19/21,33300000,692.0,2900000,2021,SHOW,"['drama', 'romance']",['KR'],7.2,4939.0,47.096,8.0,The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.,Unkown,70,1.0
495,The Mire,the mire,Yes,2/28/24,15300000,314.0,2900000,2018,SHOW,"['drama', 'crime', 'thriller']",['PL'],7.0,4355.0,13.039,6.8,"The town is shocked with a brutal double murder. The ""Courier"" hands the case to an experienced journalist - Witold Wanycz. At the same time, he learns about the mysterious suicide of two teenagers. Together with Piotr, a young journalist, they start their own investigation.",TV-MA,54,2.0
502,True: Wonderful Wishes (2018),true,Yes,6/15/18,5600000,114.0,2900000,2018,SHOW,['animation'],['US'],7.4,92.0,1.96,7.4,Do-gooding True and Bartleby will go anywhere to make wishes come true -- from the bottom of the Living Sea to the tip of Mount Tippy Tippy Top!,TV-Y,24,1.0
519,H2O: Just Add Water,h2o,No,,29900000,641.0,2800000,2006,SHOW,"['scifi', 'drama', 'family', 'fantasy']",['AU'],7.2,15179.0,30.832,7.8,H2O: Just Add Water revolves around three teenage girls facing everyday teen problems with an added twist: they cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.,TV-PG,25,3.0
520,Hunter x Hunter,hunter x hunter,No,,28600000,391.97452229299364,2800000,2011,SHOW,"['action', 'animation', 'comedy', 'fantasy']",['JP'],9.0,92162.0,178.265,8.8,"Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive. His Father, Ging, is a Hunter — a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.",TV-14,23,3.0
531,Dark,dark,Yes,12/1/17,23600000,500.0,2800000,2017,SHOW,"['scifi', 'crime', 'drama', 'thriller']",['DE'],8.7,363469.0,164.601,8.4,A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.,TV-MA,56,3.0
532,Our Planet,our planet,Yes,4/5/19,19000000,403.0,2800000,2019,SHOW,['documentation'],['GB'],9.3,42259.0,19.942,8.8,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,TV-G,50,1.0
537,Fuller House,fuller house,Yes,2/26/16,17400000,372.0,2800000,2016,SHOW,"['comedy', 'family']",['US'],6.7,27445.0,25.211,7.6,"D.J. Tanner-Fuller is a widow and mother of three. Things become too much to handle, so she asks for help from her sister Stephanie and her best-friend Kimmy.",TV-Y7,27,5.0
539,BoJack Horseman,bojack horseman,Yes,8/22/14,14700000,310.0,2800000,2014,SHOW,"['comedy', 'drama', 'animation']",['US'],8.8,148127.0,92.956,8.6,"Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",TV-MA,26,6.0
544,Larva,larva,Yes,,8800000,186.0,2800000,2011,SHOW,"['comedy', 'family', 'animation', 'drama', 'horror', 'thriller']",['KR'],7.1,615.0,9.644,7.4,Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.,TV-G,2,5.0
552,Jack Whitehall: Travels with My Father (2017),jack whitehall,No,1/30/24,3000000,65.0,2800000,2017,SHOW,"['reality', 'documentation', 'comedy', 'european']",['GB'],7.6,5482.0,5.014,7.4,"Comic Jack Whitehall invites his stodgy, unadventurous father to travel with him to odd locations and events in an attempt to strengthen their bond.",TV-MA,48,5.0
567,Lost in Space,lost in space,Yes,4/13/18,25100000,564.0,2700000,2018,SHOW,"['drama', 'scifi', 'action', 'thriller', 'family']",['US'],7.3,98084.0,55.052,7.654,"After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.",TV-PG,49,3.0
570,Queen of the South,queen of the south,Yes,,23500000,528.0,2700000,2016,SHOW,"['drama', 'thriller', 'action', 'crime']",['US'],7.9,29495.0,42.381,7.623,"Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas, she looks to become the country's reigning drug smuggler and to avenge her lover's murder.",TV-MA,42,5.0
577,Somewhere Between,somewhere between,No,6/29/18,19000000,425.0,2700000,2017,SHOW,"['drama', 'thriller', 'scifi']",['US'],6.2,5957.0,14.04,6.5,"Laura Price, a local news producer in San Francisco, is helping the police to hunt down a serial killer. After the killer strikes close to home, a twist of fate allows a “Groundhog Day”-type reset, and Laura relives the week prior to the string of murders. Can she change fate and stop the killer?",TV-14,42,1.0
579,Somebody Feed Phil,somebody feed phil,Yes,3/1/24,17200000,378.0,2700000,2018,SHOW,['documentation'],['US'],8.2,4850.0,9.24,7.4,"""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more.",TV-14,52,5.0
584,iCarly,icarly,No,,13600000,306.0,2700000,2007,SHOW,"['comedy', 'family', 'romance']",['US'],6.7,38877.0,100.996,8.0,"Watch Carly, Sam, and Freddie, as they try to balance their everyday 8th grade lives with their newfound fame managing and starring in the most awesome show on the web.",TV-G,26,6.0
585,That Girl Lay Lay,that girl lay lay,No,2/23/23,13400000,300.0,2700000,2021,SHOW,['comedy'],['US'],3.6,254.0,5.946,9.5,"That Girl Lay Lay follows Lay Lay, the perfect hype girl and best friend that anyone could ever want from their personal affirmation app. Struggling to make her mark at school and needing a best friend to talk to, Sadie wishes upon a star that Lay Lay was real and could help teach her how to stand out. When her wish comes true and Lay Lay is magically brought to life, the two friends learn that when they are together, they can accomplish anything, and navigate life as teenagers and discover who they truly are.",TV-G,22,2.0
591,Julie and the Phantoms,julie and the phantoms,Yes,9/10/20,12500000,280.0,2700000,2020,SHOW,"['scifi', 'fantasy', 'music', 'comedy', 'drama', 'family', 'documentation']",['US'],8.4,9725.0,13.926,8.584,Teenage Julie finds her passion for music and life while helping the Phantoms -- a trio of ghostly guys -- become the band they were never able to be.,TV-G,2,1.0
592,Ragnarok,ragnarok,Yes,1/31/20,12300000,269.0,2700000,2020,SHOW,"['thriller', 'action', 'drama', 'fantasy', 'scifi']",['NO'],7.5,36863.0,118.364,8.067,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for Ragnarok -- unless someone intervenes in time.,TV-MA,47,2.0
598,Emily's Wonder Lab,emilys wonder lab,Yes,8/25/20,5800000,130.0,2700000,2020,SHOW,['family'],['US'],7.4,92.0,3.324,9.3,"Science-loving host Emily Calandrelli makes STEAM fun with activities, demonstrations and at-home experiments that'll make you think — and blow your mind!",Unkown,0,1.0
607,The Marked Heart,the marked heart,Yes,4/20/22,26200000,615.0,2600000,2022,SHOW,"['thriller', 'drama']",['CO'],6.4,1824.0,273.963,8.074,This new Colombian telenovela is about a man who has to watch his wife die and have her heart extracted to give to another woman. He’s out for revenge in the world of organ trafficking.,TV-MA,44,2.0
610,The Mist,the mist,No,8/25/17,18200000,427.0,2600000,2007,MOVIE,"['horror', 'scifi', 'thriller']",['US'],7.1,305346.0,37.369,6.9,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",R,126,1
615,The Epic Tales of Captain Underpants,the epic tales of captain underpants,Yes,7/13/18,13500000,314.0,2600000,2018,SHOW,"['animation', 'comedy', 'action', 'family']",['US'],6.6,931.0,11.851,8.5,Fourth-grade friends George and Harold have a shared love of pranks and comic books -- and turning their principal into an undies-wearing superhero.,TV-Y7,24,4.0
617,Inside Job,inside job,Yes,10/22/21,11900000,279.0,2600000,2021,SHOW,"['comedy', 'animation', 'fantasy', 'scifi']",['US'],7.6,16616.0,42.395,8.2,"For employees of the Deep State, conspiracies aren't just theories — they're fact. And keeping them a secret is a full-time job.",TV-MA,28,2.0
624,Catching Killers,catching killers,Yes,6/23/23,8000000,184.0,2600000,2021,SHOW,"['crime', 'documentation']",['US'],7.1,3250.0,12.506,7.0,"The investigators behind infamous serial killer cases reveal the harrowing, chilling details of their extraordinary efforts in this true crime series.",TV-MA,41,2.0
629,Action Pack,action pack,Yes,6/6/22,7400000,173.0,2600000,2022,SHOW,"['family', 'action', 'animation', 'fantasy', 'scifi', 'comedy']",['US'],6.3,86.0,5.8,8.2,"The heroic kids of the Action Academy take on the bad guys with their hearts, their wits and their superpowers, and bring out the best in them.",TV-Y,28,2.0
630,Blippi Wonders,blippi wonders,Yes,,4100000,94.0,2600000,2021,SHOW,['animation'],['US'],5.1,21.0,1.557,7.0,"Ever curious Blippi sets off on comedic and fun adventures in his BlippiMobile along with his faithful sidekicks TABBS & FETCH, who help him find the answers to a burning question of the day. This animated series allows us to take Blippi places he couldn't normally go in live-actions and appeal audiences around the world.",TV-Y,7,1.0
638,Cursed,cursed,Yes,7/17/20,23000000,552.0,2500000,2020,SHOW,"['action', 'scifi', 'fantasy', 'drama']",['US'],5.8,29864.0,30.279,7.4,"In this fresh take on the Arthurian legend, teenager Nimue joins forces with mercenary Arthur on a quest to find Merlin and deliver an ancient sword.",TV-MA,55,1.0
643,Troy (2004),troy,Yes,4/6/18,19400000,461.0,2500000,2004,MOVIE,"['action', 'history', 'war', 'drama', 'european']","['MT', 'GB', 'US']",7.3,527447.0,48.407,7.1,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",R,163,1
645,Arcane,arcane,Yes,11/6/21,15300000,373.0,2500000,2021,SHOW,"['scifi', 'action', 'drama', 'animation', 'fantasy']",['US'],9.0,186899.0,106.45,9.081,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",TV-14,41,1.0
646,Glitch,glitch,Yes,10/14/16,13000000,318.0,2500000,2015,SHOW,"['scifi', 'thriller', 'drama', 'horror']",['AU'],7.3,17240.0,48.448,6.8,A police officer and a doctor face an emotionally charged mystery when seven local residents inexplicably return from the dead in peak physical form.,TV-MA,52,3.0
648,Heartstopper,heartstopper,Yes,8/3/23,11700000,282.0,2500000,2022,SHOW,"['romance', 'drama']",['GB'],8.7,45476.0,165.66,9.027,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,TV-14,28,3.0
649,Scaredy Cats,scaredy cats,Yes,10/1/21,10900000,260.0,2500000,2021,SHOW,"['scifi', 'family', 'fantasy', 'comedy']",['US'],6.2,349.0,7.585,6.9,"On Willa Ward’s twelfth birthday, she inherits a beautiful charm necklace that belonged to her mother, who was a witch.  She soon learns 2 bad witches, Wilma and Wanda are after her locket so they can have ultimate power, and she alongside her best friends Scout and Lily turn into cats to escape.",TV-G,29,1.0
650,Kota Factory,kota factory,Yes,6/20/24,10200000,247.0,2500000,2019,SHOW,"['drama', 'comedy']",['IN'],9.1,69316.0,9.584,8.3,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",TV-MA,39,2.0
652,The Big Show Show,the big show show,Yes,4/6/20,9000000,214.0,2500000,2020,SHOW,"['comedy', 'family']",['US'],6.3,2426.0,8.046,7.5,"When Big Show's teenage daughter comes to live with him and his wife and two other daughters, he quickly becomes outnumbered and outsmarted. Despite being 7 feet tall and weighing 400 pounds, he is no longer the center of attention.",TV-PG,26,1.0
654,Learning Songs by Little Baby Bum: Nursery Rhyme Friends,learning songs by little baby bum,No,,5000000,120.0,2500000,2017,SHOW,"['animation', 'family', 'music']",[],4.2,9.0,0.899,7.4,"Simple songs mix with colorful animation to teach youngsters about concepts such as animals, vehicles, numbers, colors and more.",TV-Y,30,1.0
665,How to Get Away with Murder,how to get away with murder,No,,26600000,659.0,2400000,2014,SHOW,"['crime', 'drama', 'thriller']",['US'],8.1,148643.0,47.891,7.9,"A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot and will shake the entire university and change the course of their lives.",TV-14,43,6.0
666,PJ Masks,pj masks,No,,25100000,627.0,2400000,2015,SHOW,"['family', 'animation', 'scifi', 'action', 'fantasy', 'european']",['GB'],5.4,1268.0,42.328,5.0,"Connor, Greg and Amaya are normal kids by day, but at night they activate their bracelets, which link into their pajamas and give them fantastic super powers, turning them into their alternate identities: The PJ Masks. The team consists of Catboy (Connor), Gekko (Greg) and Owelette (Amaya). Together, they go on adventures, solve mysteries, and learn valuable lessons.",TV-G,15,5.0
667,Marco Polo (2014),marco polo,Yes,12/12/14,22400000,558.0,2400000,2014,SHOW,"['action', 'drama', 'history', 'documentation']",['US'],8.0,71735.0,22.636,7.4,"An epic adventure that follows the early years of the famous explorer as he travels the exotic Silk Road to the great Kublai Khan’s court. But Marco soon finds that navigating the Khan’s world of greed, betrayal, sexual intrigue and rivalry will be his greatest challenge yet, even as he becomes a trusted companion to the Khan in his violent quest to become the Emperor of the World.",TV-MA,55,2.0
669,Riverdale,riverdale,No,1/27/17,22100000,558.0,2400000,2017,SHOW,"['crime', 'drama', 'thriller', 'romance']",['US'],6.6,141250.0,341.862,8.531,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.",TV-14,42,6.0
670,Power Rangers Dino Fury,power rangers dino fury,No,6/14/21,20100000,496.0,2400000,2021,SHOW,"['thriller', 'action', 'comedy', 'drama', 'fantasy', 'scifi']",[],6.7,515.0,19.16,7.4,"When an army of powerful alien beings is unleashed on Earth threatening life as we know it, a brand-new team of Power Rangers, fueled by the prehistoric power of the dinosaurs, are recruited to deal with the threat.",TV-Y7,21,2.0
671,"Nicky, Ricky, Dicky & Dawn",nicky ricky dicky  dawn,No,,18200000,453.0,2400000,2014,SHOW,"['family', 'comedy']",['US'],5.1,2642.0,27.683,7.3,The story of a 10-year-old girl Dawn Haley whose sibling rivalry with her three brothers is heightened by the fact that they are quadruplets.,TV-G,23,4.0
672,Warrior Nun,warrior nun,Yes,7/2/20,17600000,438.0,2400000,2020,SHOW,"['action', 'drama', 'scifi', 'fantasy']",['US'],6.8,30243.0,45.891,7.9,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns.",TV-MA,43,2.0
674,The Chestnut Man,the chestnut man,Yes,9/29/21,13100000,333.0,2400000,2021,SHOW,"['crime', 'drama', 'thriller']",['DK'],7.7,42817.0,49.565,7.7,"At a grisly murder scene sits a figurine made of chestnuts. From this creepy clue, two detectives hunt a killer linked to a politician's missing child.",TV-MA,55,1.0
675,The Rain,the rain,Yes,5/4/18,13000000,326.0,2400000,2018,SHOW,"['scifi', 'thriller', 'drama']",['DK'],7.3,616.0,98.788,7.415,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety. A Scandinavian thriller series.",TV-MA,43,3.0
676,Kengan Ashura,kengan ashura,Yes,9/21/23,12300000,304.0,2400000,2019,SHOW,"['animation', 'action', 'sport']",['JP'],8.0,4869.0,85.14,8.3,"A timid old man is summoned by his chairman to become the manager of Tokita Ohma, a highly skilled gladiator who only cares about fighting and winning in the Kengan matches.",TV-MA,25,2.0
